<comp5111.assignment.cut.ToolBox$StringTools: int indexOfDifference(java.lang.CharSequence[])>	if allStringsNull != 0 goto return -1	0.26	31	1589	
<comp5111.assignment.cut.ToolBox$StringTools: java.lang.String getCommonPrefix(java.lang.String[])>	if $stack2 == 0 goto smallestIndexOfDiff = staticinvoke <comp5111.assignment.cut.ToolBox$StringTools: int indexOfDifference(java.lang.CharSequence[])>(strs)	0.24	38	1349	
<comp5111.assignment.cut.ToolBox$StringTools: int indexOfAny(java.lang.CharSequence,char[])>	if $stack10 == 0 goto csLen = interfaceinvoke cs.<java.lang.CharSequence: int length()>()	0.24	38	1417	
<comp5111.assignment.cut.ToolBox$StringTools: int indexOfDifference(java.lang.CharSequence[])>	if $stack10 > 1 goto anyStringNull = 0	0.24	38	1565	
<comp5111.assignment.cut.ToolBox$ArrayTools: boolean isEmpty(java.lang.Object[])>	return $stack2	0.22	45	251	
<comp5111.assignment.cut.ToolBox$StringTools: boolean isCreatable(java.lang.String)>	chars = virtualinvoke str.<java.lang.String: char[] toCharArray()>()	0.22	45	1817	
<comp5111.assignment.cut.ToolBox$StringTools: boolean isCreatable(java.lang.String)>	sz = lengthof chars	0.22	45	1818	
<comp5111.assignment.cut.ToolBox$StringTools: boolean isCreatable(java.lang.String)>	hasExp = 0	0.22	45	1819	
<comp5111.assignment.cut.ToolBox$StringTools: boolean isCreatable(java.lang.String)>	hasDecPoint = 0	0.22	45	1820	
<comp5111.assignment.cut.ToolBox$StringTools: boolean isCreatable(java.lang.String)>	allowSigns = 0	0.22	45	1821	
<comp5111.assignment.cut.ToolBox$StringTools: boolean isCreatable(java.lang.String)>	foundDigit = 0	0.22	45	1822	
<comp5111.assignment.cut.ToolBox$StringTools: boolean isCreatable(java.lang.String)>	if $stack95 != 43 goto $stack12 = 1 + 1	0.22	45	1824	
<comp5111.assignment.cut.ToolBox$StringTools: boolean isCreatable(java.lang.String)>	if sz <= $stack12 goto sz = sz + -1	0.22	45	1825	
<comp5111.assignment.cut.ToolBox$StringTools: boolean isCreatable(java.lang.String)>	sz = sz + -1	0.22	45	1852	
<comp5111.assignment.cut.ToolBox$StringTools: boolean isCreatable(java.lang.String)>	i = 1	0.22	45	1854	
<comp5111.assignment.cut.ToolBox$StringTools: boolean isCreatable(java.lang.String)>	if i >= $stack28 goto $stack29 = lengthof chars	0.22	45	1857	
<comp5111.assignment.cut.ToolBox$ArrayTools: int getLength(java.lang.Object)>	return $stack1	0.21	52	289	
<comp5111.assignment.cut.ToolBox$ArrayTools: int getLength(java.lang.Object)>	if array != null goto $stack1 = staticinvoke <java.lang.reflect.Array: int getLength(java.lang.Object)>(array)	0.2	53	286	
<comp5111.assignment.cut.ToolBox$StringTools: boolean isCreatable(java.lang.String)>	if $stack9 == 0 goto chars = virtualinvoke str.<java.lang.String: char[] toCharArray()>()	0.2	53	1814	
<comp5111.assignment.cut.ToolBox$ArrayTools: boolean isEmpty(char[])>	return $stack2	0.17	55	198	
<comp5111.assignment.cut.ToolBox$StringTools: boolean isEmpty(java.lang.CharSequence)>	return $stack2	0.17	55	1751	
